"面积","房型","装修","租金压付","租金","楼层","所属区域","所在小区","朝向","租赁方式","类型","位置","标题"
"82平米","2室2厅1卫","精装修","面议","2600元/月","16/24","雁塔","中海城","南北","整租","普通住宅","曲江城市运动公园","玛雅优选：中海城 全新家具2室全配 幼儿园小学 地铁一应俱全"
"78平米","2室2厅2卫","精装修","付3押1","2100元/月","15/33","雁塔","龙湖紫都城","朝南","整租","普通住宅","曲江大道","龙湖紫都城精装全配2居室诚意出租 看房随时  拎包入住"
"48平米","1室1厅1卫","精装修","半年付","1500元/月","11/30","雁塔",,"朝南","整租","普通住宅","电子城","电子正街 万象春天 万象国际 新房一室 全新家私出租 美得很"
"90平米","2室1厅1卫","豪华装修","付3押1","2300元/月","22/32","雁塔","紫郡长安","朝南","整租","普通住宅","长安西路","城南 近地铁 紫郡长安  精装两室 业主诚心出租"
"143平米","3室2厅2卫","精装修","半年付","2000元/月","5/11","未央","西安印象","南北","整租","普通住宅","行政中心","地铁口  万科物业 三室  落地窗  全明户型 住家办公"
"111平米","3室2厅1卫","简单装修","半年付押1","1300元/月","26/28","新城","水泥制管厂家属院","朝南","整租","普通住宅","含元路","水泥制管厂三室房屋出租，有双气，家属院生活成本低"
"45平米","1室1卫","精装修","面议","1650元/月","16/27","未央","盛世一品","东南","整租","普通住宅","市图书馆","交通便利 拎包入住 精装修  盛世一品  一居室  大开间"
"164平米","3室2厅2卫","精装修","面议","6000元/月","1/18","雁塔","绿地世纪城","南北","整租","普通住宅","锦业路","绿地世纪城 南北精装三居 中间楼层 自住标准 诚租"
"92平米","2室2厅1卫","精装修","半年付","1400元/月","26/26","莲湖","永新苑新都花园","西南","整租","普通住宅","龙首村","新都花园，两室部分配。"
"77平米","2室2厅1卫","精装修","半年付","1600元/月","22/27","莲湖","天朗莱茵小城","朝南","整租","普通住宅","红光路","业主自主，家里收拾的很好。适合小两口居住。看上房价格好商量。"
"100平米","2室2厅1卫","精装修","半年付押1","3500元/月","21/22","雁塔","唐延鑫苑","南北","整租","普通住宅","光华路","玛雅 地铁口附近 唐延鑫苑 两室两厅 业主自住 精装全配"
"75平米","2室1厅1卫","精装修","半年付","1200元/月","7/7","莲湖","青门东区","朝南","整租","普通住宅","龙首村","龙首原 青门东区两室全配1200 配套设施齐全 出门就车站。"
"55平米","1室1厅1卫","精装修","付3押1","1500元/月","12/29","未央","宫园壹号2期","朝南","整租","普通住宅","大明宫","龙首十字 地铁口宫园壹号精装修1室开间 全配 拎包住随时看"
"93平米","2室2厅1卫","精装修","半年付押1","2000元/月","30/30","长安","雅居乐花园","朝南","整租","普通住宅","郭杜","韦曲郭杜，精装修，拎包去住。"
"19平米","1室1卫","精装修","付3押1","650元/月","8/26","雁塔","凯悦华庭","朝北","整租","公寓","电子城","凯悦华庭19平米一室一卫整体出租"
"43平米","1室1卫","精装修","半年付","1800元/月","12/34","莲湖","西市佳园","朝北","整租","普通住宅","丰庆公园","大.唐西市旁 西市佳园 精装小户型 家具家电齐全 拎包入住"
"130平米","3室2厅2卫","精装修","付3押1","2600元/月","16/32","雁塔","枫韵蓝湾","南北","整租","普通住宅","大寨路","高新地铁口 科技路西口 枫韵蓝湾 莱安逸珲 融侨城3室 急租"
"80平米","1室1厅2卫","精装修","付3押1","2500元/月","12/25","雁塔","尚品国际","东西","整租","普通住宅","高新一中","尚品国际 1室1厅2卫 精装修 全配 拎包入住"
"90平米","2室2厅1卫","精装修","面议","2100元/月","6/28","未央","仁里","朝南","整租","普通住宅","市图书馆","凤城一路 仁里 90平两室精装 拎包入住 2100 急租"
"82平米","2室2厅1卫","精装修","半年付押1","1500元/月","18/28","未央","锦园君逸","朝东","整租","普通住宅","市图书馆","太华路 万达旁 锦园君逸 精装修 2室 拎包入住 1500元"
"42平米","1室1卫","精装修","半年付","1500元/月","19/30","雁塔","东尚蜂鸟","朝南","整租","普通住宅","中兴产业园","好房来袭 华为附近工作的看过来 东尚蜂鸟 精装1室 拎包入住"
"350平米","6室3厅2卫","毛坯","半年付","6000元/月","1/4","雁塔","大华公园世家(别墅)","南北","整租","普通住宅","曲江城市运动公园","曲江大华高端别墅 整栋出租 舒适宜居 自住办公 小学幼儿园"
"28平米","3室2厅2卫","精装修","付1押1","800元/月","16/32","未央","杰信花园","朝南","合租","普通住宅","市图书馆","市图书馆地铁口 凤城一路 杰信花园 押一付一 免物业取暖网费"
"41平米","1室1厅1卫","中等装修","年付","1300元/月","19/31","未央","紫薇风尚","朝北","整租","普通住宅","张家堡","凤城五路紫薇风尚 一室装修全配 拎包入住 看房方便"
"110平米","3室2厅1卫","精装修","面议","2600元/月","3/32","未央","凤城庭院","朝南","整租","普通住宅","张家堡","凤城庭院精装三室随时入住"
"45平米","1室1厅1卫","精装修","半年付","1800元/月","12/32","雁塔","盛景园","朝北","整租","普通住宅","大寨路","玛雅 力推 大寨路盛景园标准一室一厅户型方正 看房方便"
"75平米","2室2厅1卫","简单装修","半年付押1","1100元/月","6/7","碑林","柿园坊小区","朝东","整租","普通住宅","东关正街","东门外兴庆公园柿园坊西区，两室拎包住，便宜出租！"
"18平米","3室2厅2卫","精装修","付1押1","560元/月","6/34","莲湖","雅逸星座","南北","合租","公寓","汉城路","月付无忧 单间合租 土门 沣惠路 雅逸星座小区 环境优美"
"88平米","2室2厅1卫","精装修","半年付","2300元/月","15/28","雁塔","天朗蓝湖树","南北","整租","普通住宅","鱼化寨","天朗蓝湖树，两室精装全配，地铁口，科技路西口，配套齐全"
"89平米","3室2厅1卫","精装修","半年付","2400元/月","10/30","长安","万科城一期","南北","整租","普通住宅","郭杜","只此一套！！！万科城一期 华润万家 KFC 生活便 随时看房"
"25平米","3室1厅2卫","精装修","付1押1","940元/月","10/33","雁塔","龙城铭园","朝南","合租","普通住宅","鱼化寨","丈八北路地铁 外事学院旁 龙城铭园 三室精装 免物业网费"
"90平米","2室2厅1卫","精装修","半年付","1600元/月","26/33","未央","颐和郡","南北","整租","普通住宅","市图书馆","急租！三星小学旁 颐和郡精装2室 温馨整洁 随时看随时住"
"50平米","1室1卫","精装修","半年付押1","2100元/月","15/33","碑林","长安大街3号","南北","整租","普通住宅","南稍门","草场坡 长安大街3号 一室高层全配整租 风景好 交通方便地铁"
"68平米","2室2厅1卫","精装修","付3押1","1200元/月","3/7","莲湖","青门东区","南北","整租","普通住宅","龙首村","龙首村 地铁口 附近 青门东区两室精装全配  随时看房"
"111平米","3室2厅1卫","精装修","半年付","2600元/月","15/26","莲湖","旭景名园","西南","整租","普通住宅","西关正街","大型社区 绿化好 设施齐全 旭景名园 随时看房入住 位置繁华"
"50平米","1室1厅1卫","精装修","面议","2000元/月","15/33","碑林","翡翠明珠","朝南","整租","普通住宅","南稍门","南稍门 纯朝南 户型方正 采光好 可配全 翡翠明珠拎包住"
"89平米","3室2厅1卫","精装修","面议","2500元/月","9/33","长安","万科城二期","朝南","整租","普通住宅","郭杜","雅居乐旁 万科城 精装全配三室 拎包入住 干净整洁 随时看房"
"126平米","3室2厅2卫","豪华装修","半年付","3800元/月","10/28","未央","锦园新世纪","南北","整租","普通住宅","大明宫","急租！锦园新世纪 业主自住3室 温馨舒适 拎包入住 随时看房"
"45平米","1室1卫","精装修","付3押1","2000元/月","15/31","雁塔","高新水晶城","朝南","整租","普通住宅","科技路","高新水晶城 中大国际对面 科技二路 一室精装全配急租！"
"102平米","2室2厅1卫","精装修","半年付","2600元/月","12/32","雁塔","盛景园","朝南","整租","普通住宅","大寨路","玛雅力推 大寨路盛景园两室精装 业主自住标准  看房方便"
"130平米","3室2厅2卫","精装修","半年付押1","2300元/月","33/33","雁塔","中铁铂丰尚都城","南北","整租","普通住宅","雁环中路","城南欧亚学院旁 《中铁尚都城》精装修全配3室新房 可随时看房"
"90平米","2室1厅1卫","精装修","半年付","2300元/月","22/24","雁塔","新乐城","朝南","整租","普通住宅","大寨路","新乐城 90平精装两室 超高性价比  手慢无"
"64平米","1室1厅1卫","精装修","半年付","2000元/月","3/6","未央","白桦林居","朝南","整租","普通住宅","行政中心","白桦林居小区 1室1厅精装修 可拎包入住 64平"
"67平米","1室1厅1卫","精装修","半年付","2200元/月","10/31","雁塔","数字生活","朝西","整租","普通住宅","高新一中","数字生活一室一厅精装家具家电全配，钥匙在店看房方便！"
"113平米","3室2厅2卫","豪华装修","付3押1","3500元/月","13/17","雁塔","天地源枫林绿洲","东南","整租","普通住宅","高新一中","志道力荐 枫林绿洲 精装自住房、东南户型业主诚心出租"
"128平米","3室2厅2卫","精装修","年付","3800元/月","28/30","碑林","万达广场","南北","整租","普通住宅","李家村","李家村 万达广场 3室2厅2卫 豪装3800  拎包入住"
"130平米","3室2厅2卫","精装修","付3押1","2650元/月","13/26","雁塔","金泰假日花城","南北","整租","普通住宅","电子城","雁塔太白南路 西万路口 都市之门 丈八东路 紫薇 金泰三居室"
"75平米","2室2厅1卫","精装修","付3押1","1800元/月","14/30","雁塔","紫郡长安","朝南","整租","普通住宅","长安西路","电视塔，紫郡长安，两室全配，家具家电齐全，拎包入住"
"55平米","1室1厅1卫","精装修","付3押1","1399元/月","16/32","莲湖","公园大观","朝南","整租","普通住宅","丰庆公园","可月付可短租丰庆公园旁桃园南路《公园大观》精装一室一厅拎包住"
"126平米","3室2厅2卫","简单装修","付3押1","2200元/月","4/7","莲湖","西桃园小区","朝南","整租","普通住宅","丰庆公园","南二环经典地段精装修带部分家具家电中间楼层可随时看房性价比"
"45平米","1室1卫","精装修","半年付押1","1600元/月","10/12","雁塔","都市春天","朝南","整租","普通住宅","科技路","都市春天一室，看房方便，靠近地铁口，朝南采光非常好，中间楼层"
"42平米","1室1卫","精装修","半年付","1700元/月","7/32","雁塔","糖果house","朝南","整租","普通住宅","木塔寺公园","万达旁都市之门附近多套水晶岛、糖果标准一室一厅精装全配有钥匙"
"115平米","3室2厅1卫","简单装修","半年付押1","1700元/月","20/33","未央","北李社区","东南","整租","普通住宅","行政中心","凤城九路 运动公园对面 北李社区 三室简单装修 急租"
"126平米","3室2厅2卫","精装修","半年付","2300元/月","20/30","雁塔","兰乔圣菲","南北","整租","普通住宅","电子城","电子城 太白南路 兰乔圣菲 精装三室 全配 拎包入住"
"74平米","1室1厅1卫","精装修","半年付","1500元/月","15/26","未央","银池丽舍云端","东南","整租","普通住宅","张家堡","凤城五路地铁口、熙地港、行政中心、正规1居室、配套齐全、诚租"
"102平米","2室2厅1卫","精装修","面议","1500元/月","22/33","未央","旭景兴园","朝北","整租","普通住宅","张家堡","旭景兴园 2室2厅 102平"
"65平米","1室1厅1卫","简单装修","半年付押1","1200元/月","8/33","未央","海荣名城","朝北","整租","普通住宅","行政中心","业主急租 直接入住 小户型 随时看房"
"83平米","2室2厅1卫","精装修","面议","1800元/月","31/33","雁塔","海亮新英里","朝南","整租","普通住宅","西沣路","高新区  中兴产业园  精装两室 自住标准   高新国际学校"
"129平米","3室2厅2卫","精装修","付3押1","3800元/月","2/17","雁塔","天地源枫林绿洲","南北","整租","普通住宅","高新一中","高新路科技路三小对面 环境优美 陪读上班的不二之选"
"118平米","3室2厅2卫","精装修","半年付","2000元/月","17/18","未央","美都香域","南北","整租","普通住宅","市图书馆","美都香域 118平米 精装三室 家具家电齐全  干净清爽"
"25平米","3室2厅2卫","精装修","付1押1","720元/月","15/34","莲湖","景寓学府东区","南北","合租","公寓","西关正街","押一付一 西工大 丰庆路东口 水司车站 景寓学府  超大空间"
"82平米","2室2厅1卫","精装修","半年付押1","1300元/月","10/11","西安周边","奥林匹克花园北京奥运村","南北","整租","普通住宅","咸阳","2室2厅1卫精装全配  陕师大名校旁 诚心出租1300半年付"
"110平米","3室2厅2卫","精装修","付3押1","2600元/月","5/26","雁塔","旭景碧泽园","朝南","整租","普通住宅","大寨路","大寨路 旭景碧泽园 三室两厅精装全配 仅租2600 随时看房"
"105平米","1室1厅1卫","精装修","面议","4500元/月","12/32","雁塔","华奥大厦","南北","整租","公寓","科技路","太白南路办公好房萨菲尔名邸通达大厦华奥大厦精装"
"100平米","2室2厅1卫","精装修","半年付","2300元/月","20/27","雁塔","盛景园","朝南","整租","普通住宅","大寨路","大寨路盛景园精装两室，高新组上班好住处，家电全配，拎包入住"
"80平米","2室2厅1卫","精装修","付3押1","2000元/月","15/30","雁塔","响塘德苑","西南","整租","普通住宅","大寨路","委托放心房 响塘文苑80平2000每月房源紧张 先到先得"
"79平米","2室2厅1卫","简单装修","付3押1","1350元/月","2/7","新城","华山小区二十街坊","南北","整租","普通住宅","韩森寨","韩森路 华山20街坊 中装两室 交通便利 地铁口急租"
"104平米","2室2厅1卫","精装修","半年付","2200元/月","10/14","未央","锦园君逸","南北","整租","普通住宅","市图书馆","万达旁 未央小学对面 锦园精装2室 温馨舒适 拎包入住"
"100平米","2室2厅1卫","精装修","半年付","2000元/月","2/18","未央","锦尚","朝南","整租","普通住宅","市图书馆","拎包入住 门口就是公交站 临近地铁 生活购物方便"
"75平米","2室1厅1卫","精装修","半年付押1","2000元/月","30/33","莲湖","恒天国际城","朝南","整租","普通住宅","西关正街","玉祥门恒天国际城2室1厅75平南向精装双气全配2000元"
"76平米","2室2厅1卫","精装修","半年付押1","1200元/月","14/28","西安周边","新新佳园","朝南","整租","普通住宅","咸阳","诚心出租着急用钱  世纪大道新新佳园2室带家具 不临街采光好"
"60平米","1室1厅1卫","精装修","付3押1","1400元/月","9/33","未央","宫园美岸","朝南","整租","普通住宅","方新村","龙首村 地铁口 附近 宫园美岸一室精装全配  随时看房"
"26平米","3室1厅2卫","精装修","付1押1","890元/月","9/29","雁塔","五米魔方","朝南","合租","普通住宅","科技路","高新六路 科技一路 五米魔方 两室精装 首月租金减800"
"95平米","2室2厅1卫","精装修","半年付押1","2500元/月","27/33","雁塔","高科尚都","朝南","整租","普通住宅","锦业路","高新区锦业路与丈八五路高科尚都大社区环境好市政供暖拎包入住！"
"99平米","2室2厅1卫","简单装修","半年付","1500元/月","4/18","未央","高红小区","东南","整租","普通住宅","张家堡","常青路 航天常青苑 两室两厅一卫 简装空房 看房方便"
"21平米","3室2厅2卫","精装修","付1押1","600元/月","9/34","新城","联志小区","南北","合租","公寓","北关","轻松月付 单间合租 北关 联志路 联志小区 环境优美 无中介"
"52平米","1室1厅1卫","精装修","半年付押1","1750元/月","7/7","新城","解放路民乐园万达广场公寓","朝北","整租","普通住宅","解放路","《祺域*房源》民乐园万达标准1室全装全配拎包入住1750"
